Actual,Predicted,Prob_Malignant,Prob_Benign
output_0,0,0.0008755442000224317,0.9998865752837799
output_0,0,0.0035419684600891447,0.9974502466080133
output_0,0,0.0037945503055686206,0.997011389706806
output_0,0,0.007762725889635341,0.9936390999053379
output_0,0,0.0015595244870040658,0.9983375343545646
output_1,1,0.9999745901186249,2.4976537326076458e-05
output_1,1,0.9999270905461438,0.0009824724335685492
output_0,0,0.0012434739199000146,0.999552123320873
output_1,1,0.9977568078345668,0.0032336364416552165
output_0,0,0.004100879185327837,0.9972441072219103
output_1,1,0.9999898109675882,2.5704478072235463e-06
output_0,0,0.0006309017807909716,0.9994837893988107
output_1,1,0.9999779317952506,2.1754105395605575e-05
output_0,0,0.003995198465457436,0.9967406033780343
output_0,0,0.00013000972114385852,0.9994698147752575
output_1,1,0.9951697821756905,0.005581607830331483
output_1,1,0.9999594914965866,0.00011336284426253735
output_0,0,0.01403235234240653,0.9864563759785873
output_1,1,0.9973096592515925,0.0027191862438612265
output_0,0,1.7622280489862978e-07,0.999999636843675
output_1,1,0.9999992937271899,3.644539486305631e-07
output_0,0,0.0006846708745769178,0.9994422489801321
output_0,0,0.001249067961703198,0.9990473335117246
output_1,1,0.9999356817844166,0.0007924078988440986
output_0,0,0.003985513440802206,0.9973184435839689
output_0,0,6.014366442055078e-07,0.9999997427976748
output_0,0,0.0006903126727902459,0.9994330252232869
output_0,0,0.004400429771381041,0.9976472021752378
output_0,0,0.00362719789852238,0.9973902829960095
output_1,1,0.995561548300957,0.002442844767829652
output_1,1,0.9999739234337331,2.5551436647587072e-05
output_0,0,0.009682305998311495,0.9954265987402355
output_1,1,0.9999994191378755,6.54898086190405e-07
output_0,0,0.003973968713934688,0.9967600493921375
output_1,1,0.9991553972737555,0.00033576267641957983
output_1,1,0.9998220115612255,0.00018135613205281609
output_1,1,0.9965613581189527,0.0024421123251206875
output_0,0,0.0019205659245799622,0.99903139458348
output_0,0,6.172267448966404e-07,0.9999997366097945
output_1,1,0.9976634716707695,0.0024717244596672806
output_1,1,0.9984191612439943,0.0022046966672195165
output_0,0,7.274377464450556e-05,0.9998742793192259
output_1,1,0.9978513738681842,0.0023038303903350965
output_1,1,0.998125590708822,0.0019344645074932207
output_1,1,0.9997161189283844,0.0002122645429710983
output_0,0,0.0005452519940304486,0.9991881393929071
output_0,0,0.004674261092455734,0.9977132252102471
output_1,1,0.9999255665527664,0.0010034833586090967
output_1,1,0.9976318832841635,0.0019504154381362114
output_0,0,0.002005958905761942,0.9971459367372583
output_0,0,0.004550042583285678,0.9975674653506752
output_1,1,0.9999938601789993,7.030509689983805e-06
output_0,0,3.883932208051709e-08,0.9999998619375656
output_0,0,0.0007510708207740126,0.9996233964036766
output_0,0,0.0019246174637350454,0.9990281364522606
output_1,1,0.9976976613636127,0.0033186260240747265
output_1,1,0.9991837707196549,0.0003247333233678262
output_1,1,0.9997563399934073,0.0010314144941550659
output_1,1,0.9999994920052448,2.6294412699334326e-07
output_1,1,0.9977294336504536,0.0018838030075927752
output_0,0,0.0005447473301219071,0.9994796471315268
output_1,1,0.9990874076157771,0.000677941780498737
output_0,0,0.002584130457428868,0.9973937356957582
output_1,1,0.9999532796924898,2.854505873201987e-05
output_1,1,0.998033812849612,0.0020225560202457213
output_1,1,0.9993198316547274,0.0010055883936603612
output_0,0,0.0014653265705937702,0.9982717258038434
output_0,0,0.002523219154247356,0.9982816808698185
output_1,1,0.9953998495160599,0.0025177720302931856
output_1,1,0.9982899588113446,0.0023900593214297708
output_0,0,0.0017515497744904878,0.9978705574939982
output_1,1,0.9963129908212747,0.007097654237651947
output_0,0,0.0008309107268084287,0.9994902665751234
output_1,1,0.9954341527580662,0.0025027420575429254
output_0,0,2.0106851489528148e-07,0.9999995844113487
output_1,1,0.9999589144620906,0.00011518678872473384
output_1,1,0.9926358058157222,0.004720186210603858
output_1,1,0.9990672078024001,0.0006917339461765837
output_1,1,0.9950852242379353,0.005688863988661756
output_0,0,0.007832944481028604,0.9935413977578853
output_0,0,0.003982727394302144,0.9967518741748841
output_0,0,0.0011854361652771151,0.9989213791725718
output_1,1,0.9999932000295957,8.79816870906086e-06
output_1,1,0.9999999999831117,7.351619083829409e-11
output_0,0,0.005420546352059667,0.9934815263299789
output_1,1,0.9968248435641238,0.0027029902342452228
output_1,1,0.999999999449904,2.5560730376406184e-09
output_1,1,0.9967657647489214,0.002751078521842994
output_1,1,0.9977681410691996,0.0021826188664984137
output_1,1,0.9977275170464032,0.0032771191692140796
output_0,0,0.00048475283284152884,0.9994817376740294
output_0,0,0.0006817790023489102,0.9994449864102081
output_0,0,0.0021088593173471054,0.9952435582615815
output_1,1,0.999780063338137,0.00022634225814339252
output_1,1,0.9985374010884173,0.0010832254482928334
output_1,1,0.9980023560702967,0.0014832960855626603
output_1,1,0.9997984086099425,0.0005287670164212764
output_1,1,0.9969111529077623,0.003103052981481309
output_1,1,0.9952618772616042,0.002591972263580052
output_0,0,0.0004796475058402043,0.9975882771503646
output_0,0,0.000837794214985829,0.999317606047507
output_1,1,0.9999993035620139,3.6059213207155865e-07
output_0,0,0.0007401872920083797,0.9981908754502876
output_1,1,0.9999994635935838,2.7688435360482275e-07
output_1,1,0.9952180760442374,0.005517454161797728
output_0,0,0.00034636762661433544,0.9987967376793804
output_1,1,0.9996874872041412,0.0002327427487958087
output_0,0,0.00013573649566626933,0.9994466458913852
output_0,0,0.003943490624581879,0.9967837512371897
output_0,0,0.0020568015266053063,0.9954192338980903
output_0,0,0.0010812486528988528,0.9990138539894217
output_0,0,2.4923154071130896e-05,0.9999454984375153
output_0,0,1.1745793672585063e-05,0.9999911797773285
output_1,1,0.9980172545256059,0.0016469450431467918
output_0,0,0.0026589925610477423,0.9973241146202955
output_1,1,0.9986568840423654,0.0006285942841432164
output_0,0,0.004404835110993793,0.9976454623418336
output_1,1,0.9685970813688368,0.027972862611702617
output_1,1,0.9983884820520398,0.00033797554724134514
output_1,1,0.9997898085276448,0.0005499126415472735
output_1,1,0.9999380865412628,3.849490908553012e-05
output_0,0,0.003653640508674341,0.9971319406400385
output_0,0,0.01582393203708801,0.9847693524315729
output_0,0,0.0021791733325504338,0.996867090769743
output_1,1,0.994305376173315,0.0036550824041473554
output_1,1,0.9973837891272938,0.002640376482879238
output_0,0,0.0007756897826592576,0.9995215615127521
output_1,1,0.9965210946037374,0.002370191255515053
output_0,0,0.0008909385295516826,0.9998847334751257
